rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20174622,해피 데스데이,2017-11-08,351441200,22.1,-33872200,-8.8,4888959998,45647,-4520,-9,602559,608,2728,2017-11-14
2,2,0,OLD,20175121,토르: 라그나로크,2017-10-25,283685600,17.9,-32000800,-10.1,35330436831,36953,-4233,-10.3,4361101,746,2997,2017-11-14
3,3,0,OLD,20172603,부라더,2017-11-02,208238100,13.1,-24989000,-10.7,10672952898,28570,-3036,-9.6,1342542,657,2729,2017-11-14
4,4,0,OLD,20172742,범죄도시,2017-10-03,169610300,10.7,-17372000,-9.3,55052571249,22373,-2451,-9.9,6724487,524,1581,2017-11-14
5,5,0,OLD,20161681,미옥,2017-11-09,112299200,7.1,-11482300,-9.3,1798244864,15278,-1594,-9.4,225012,525,2204,2017-11-14
6,6,0,OLD,20175441,채비,2017-11-09,86666100,5.5,7444000,9.4,733760164,12829,1551,13.8,98995,480,1083,2017-11-14
7,7,2,OLD,20165748,꾼,2017-11-22,82651000,5.2,36115500,77.6,152794500,9486,4023,73.6,17900,49,49,2017-11-14
8,8,-1,OLD,20179942,러빙 빈센트,2017-11-09,69264800,4.4,7848400,12.8,551021700,9308,1038,12.6,68232,272,525,2017-11-14
9,9,-1,OLD,20169643,침묵,2017-11-02,51410500,3.2,-8119400,-13.6,3855350464,7026,-999,-12.4,483985,384,798,2017-11-14
10,10,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,27625600,1.7,-3141100,-10.2,3339101600,3525,-413,-10.5,418604,155,360,2017-11-14
1,1,29,OLD,20168221,저스티스 리그,2017-11-15,1246482600,41.2,1244367600,58835.3,1263461600,153553,153318,65241.7,155646,1192,4132,2017-11-15
2,2,-1,OLD,20174622,해피 데스데이,2017-11-08,507905500,16.8,156464300,44.5,5396865498,68605,22958,50.3,671164,616,2199,2017-11-15
3,3,8,OLD,20168754,7호실,2017-11-15,407772400,13.5,389557900,2138.7,454533400,55985,53130,1860.9,62364,629,2762,2017-11-15
4,4,-2,OLD,20175121,토르: 라그나로크,2017-10-25,233062700,7.7,-50622900,-17.8,35563499531,31204,-5749,-15.6,4392305,764,2000,2017-11-15
5,5,-2,OLD,20172603,부라더,2017-11-02,144696800,4.8,-63541300,-30.5,10817649698,20431,-8139,-28.5,1362973,645,1595,2017-11-15
6,6,-2,OLD,20172742,범죄도시,2017-10-03,101827300,3.4,-67783000,-40,55154398549,13716,-8657,-38.7,6738203,485,961,2017-11-15
7,7,-1,OLD,20175441,채비,2017-11-09,49052300,1.6,-37613800,-43.4,782812464,7461,-5368,-41.8,106456,293,442,2017-11-15
8,8,0,OLD,20179942,러빙 빈센트,2017-11-09,53640000,1.8,-15624800,-22.6,604661700,7390,-1918,-20.6,75622,208,366,2017-11-15
9,9,-2,OLD,20165748,꾼,2017-11-22,53641000,1.8,-29010000,-35.1,206435500,6619,-2867,-30.2,24519,29,29,2017-11-15
10,10,-5,OLD,20161681,미옥,2017-11-09,40626000,1.3,-71673200,-63.8,1838870864,5479,-9799,-64.1,230491,390,695,2017-11-15
1,1,0,OLD,20168221,저스티스 리그,2017-11-15,1283604500,42.4,37121900,3,2547066100,164133,10580,6.9,319779,1261,6761,2017-11-16
2,2,0,OLD,20174622,해피 데스데이,2017-11-08,540060500,17.8,32155000,6.3,5936925998,75181,6576,9.6,746345,578,2098,2017-11-16
3,3,0,OLD,20168754,7호실,2017-11-15,375798200,12.4,-31974200,-7.8,830331600,52005,-3980,-7.1,114369,599,2792,2017-11-16
4,4,0,OLD,20175121,토르: 라그나로크,2017-10-25,232576400,7.7,-486300,-0.2,35796075931,31835,631,2,4424140,494,1424,2017-11-16
5,5,0,OLD,20172603,부라더,2017-11-02,127303900,4.2,-17392900,-12,10944953598,18401,-2030,-9.9,1381374,475,1097,2017-11-16
6,6,0,OLD,20172742,범죄도시,2017-10-03,80128300,2.6,-21699000,-21.3,55234526849,10618,-3098,-22.6,6748821,321,637,2017-11-16
7,7,0,NEW,20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,2017-11-16,67408200,2.2,67408200,100,67408200,9271,9271,100,9271,167,366,2017-11-16
8,8,0,OLD,20179942,러빙 빈센트,2017-11-09,53278900,1.8,-361100,-0.7,657940600,7207,-183,-2.5,82829,126,226,2017-11-16
9,9,3,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,44965300,1.5,10407600,30.1,3418624600,6257,1682,36.8,429436,134,289,2017-11-16
10,10,-3,OLD,20175441,채비,2017-11-09,35936600,1.2,-13115700,-26.7,818749064,5862,-1599,-21.4,112318,165,214,2017-11-16
1,1,0,OLD,20168221,저스티스 리그,2017-11-15,1570217084,48.6,286612584,22.3,4117283184,183255,19122,11.7,503034,1308,6928,2017-11-17
2,2,0,OLD,20174622,해피 데스데이,2017-11-08,486932416,15.1,-53128084,-9.8,6423858414,59283,-15898,-21.1,805628,640,2242,2017-11-17
3,3,0,OLD,20168754,7호실,2017-11-15,305605858,9.5,-70192342,-18.7,1135937458,38467,-13538,-26,152836,562,2605,2017-11-17
4,4,0,OLD,20175121,토르: 라그나로크,2017-10-25,249895558,7.7,17319158,7.4,36045971489,30287,-1548,-4.9,4454427,494,1435,2017-11-17
5,5,0,OLD,20172603,부라더,2017-11-02,124647300,3.9,-2656600,-2.1,11069600898,16518,-1883,-10.2,1397892,491,1086,2017-11-17
6,6,0,OLD,20172742,범죄도시,2017-10-03,119347600,3.7,39219300,48.9,55353874449,14038,3420,32.2,6762859,361,727,2017-11-17
7,7,1,OLD,20179942,러빙 빈센트,2017-11-09,67718100,2.1,14439200,27.1,725658700,8087,880,12.2,90916,140,261,2017-11-17
8,8,9,OLD,20165748,꾼,2017-11-22,68382000,2.1,59488000,668.9,283711500,7598,6464,570,33251,40,40,2017-11-17
9,9,1,OLD,20175441,채비,2017-11-09,32661000,1.0,-3275600,-9.1,851410064,4533,-1329,-22.7,116851,151,203,2017-11-17
